Iteration,Training Loss,Test Loss,Test Accuracy,Class 0 Accuracy,Class 1 Accuracy
0,1.01506,22.8999,0.631578,0.689051,0.223763
500,0.251011,0.419497,0.801056,0.799351,0.639369
1000,0.306373,0.380167,0.800004,0.787162,0.713207
1500,0.339986,0.367242,0.862622,0.864962,0.680349
2000,0.321405,0.365202,0.807163,0.793302,0.71133
2500,0.231291,0.568716,0.912974,0.995192,0.274159
3000,0.253459,0.409903,0.781765,0.761822,0.730176
3500,0.819722,0.409522,0.880864,0.902979,0.598039
4000,0.623012,0.384049,0.849654,0.847492,0.691282
4500,0.363273,0.430926,0.916303,0.955017,0.515971
5000,0.233256,0.524107,0.922329,0.992688,0.347073
5500,0.286519,0.425243,0.924589,0.966873,0.50742
6000,0.43451,0.410722,0.91313,0.945838,0.550949
6500,0.22672,0.478748,0.924517,0.985849,0.406439
7000,0.307821,0.371431,0.782748,0.758947,0.751337
7500,0.322055,0.419341,0.90513,0.937084,0.543134
8000,0.259354,0.57982,0.9179,0.996047,0.301958
8500,0.281839,0.309768,0.866262,0.853722,0.751535
9000,0.282482,0.35129,0.92434,0.948595,0.616768
9500,0.202289,0.316715,0.860827,0.853913,0.719551
10000,0.245452,0.378269,0.926258,0.954716,0.591784
10500,0.258829,0.33277,0.900149,0.906137,0.695013
11000,0.249029,0.32292,0.857379,0.845516,0.737799
11500,0.723284,0.354487,0.88374,0.889779,0.669159
12000,0.472719,0.334513,0.899681,0.908265,0.671341
12500,0.218232,0.36806,0.907537,0.917368,0.668875
13000,0.236579,0.475414,0.924196,0.976038,0.454051
13500,0.23823,0.386405,0.701236,0.66127,0.778459
14000,0.272395,0.575987,0.869869,0.931099,0.370351
14500,0.20718,0.328797,0.920175,0.932791,0.669685
15000,1.24788,0.340954,0.903104,0.909456,0.680767
15500,0.207201,0.37078,0.886187,0.894693,0.678063
16000,0.299017,0.450703,0.876882,0.909712,0.545905
16500,0.284463,0.884051,0.559536,0.508402,0.74324
17000,0.341585,0.391885,0.682274,0.630687,0.828261
17500,0.211233,0.370927,0.930993,0.959986,0.578597
18000,1.76898,0.649938,0.826004,0.885503,0.359375
18500,0.395269,0.371759,0.908518,0.929094,0.627687
19000,0.265126,0.34586,0.930899,0.956039,0.60535
19500,0.335288,0.355017,0.914898,0.930208,0.667657
20000,0.141797,0.352869,0.89727,0.912985,0.642004
20500,0.392661,0.525365,0.861346,0.906515,0.475448
21000,0.248994,0.32975,0.931927,0.953915,0.628725
21500,0.190501,0.725637,0.844828,0.928212,0.229108
22000,0.306623,0.306699,0.863137,0.851017,0.755789
22500,0.372397,0.521405,0.927566,0.990591,0.391239
23000,0.21052,0.452102,0.93119,0.98332,0.464963
23500,0.353225,0.323916,0.910384,0.91818,0.685992
24000,0.308535,0.39386,0.905573,0.906254,0.711584
24500,0.211379,0.297852,0.865876,0.852108,0.757517
25000,0.168734,0.312447,0.920144,0.930719,0.678114
25500,0.178414,0.313673,0.929174,0.943534,0.673781
26000,0.232134,0.287779,0.875937,0.863592,0.763241
26500,0.192255,0.380706,0.916626,0.942675,0.594455
27000,0.502953,0.358448,0.89425,0.901862,0.67972
27500,0.350592,0.333756,0.897826,0.90134,0.697798
28000,0.523604,0.414553,0.898935,0.925785,0.601889
28500,0.15295,0.275404,0.894893,0.890902,0.730568
29000,0.185918,0.49621,0.924165,0.981886,0.428744
29500,0.383481,0.616796,0.91315,0.991706,0.313418
30000,0.274526,0.36368,0.910331,0.931939,0.609151
30500,0.298672,0.366709,0.935219,0.96247,0.605315
31000,0.614066,0.553252,0.912829,0.977263,0.406779
31500,0.242324,0.495005,0.931991,0.985024,0.458373
32000,0.257714,0.410344,0.936835,0.980303,0.510621
32500,0.3579,0.331145,0.933649,0.955251,0.625911
33000,0.205635,0.30927,0.930813,0.945074,0.664699
33500,0.220985,0.372884,0.891338,0.902594,0.655203
34000,0.244875,0.536873,0.90961,0.975836,0.375594
34500,0.244718,0.314256,0.851044,0.843084,0.73891
35000,0.718406,0.358153,0.940939,0.971666,0.579579
35500,0.278957,0.29496,0.866691,0.856148,0.74532
36000,0.330995,0.402645,0.649951,0.598085,0.808997
36500,0.314316,0.344003,0.842745,0.823732,0.772828
37000,0.24629,0.389759,0.93372,0.962429,0.597888
37500,0.208548,0.331179,0.89344,0.901355,0.680722
38000,0.287222,0.488105,0.928153,0.984141,0.449897
38500,0.470989,0.31029,0.83678,0.81481,0.780334
39000,0.632672,0.324096,0.934389,0.959055,0.613805
39500,0.349207,0.472998,0.92925,0.988675,0.431531
40000,0.24192,0.310758,0.888154,0.878608,0.756679
40500,0.233153,0.375274,0.890688,0.90014,0.660564
41000,0.27038,0.300523,0.91623,0.92141,0.700928
41500,0.160766,0.492479,0.932264,0.98923,0.43342
42000,0.194406,0.29853,0.912029,0.913675,0.724427
42500,0.26194,0.598464,0.897475,0.966992,0.337291
43000,0.360533,0.5273,0.824622,0.858009,0.491598
43500,0.453818,0.333328,0.934057,0.950784,0.653399
44000,0.359413,0.326366,0.921298,0.92883,0.697307
44500,0.29705,0.316193,0.899273,0.899799,0.725948
45000,0.223953,0.318724,0.809609,0.779133,0.804357
45500,0.199745,0.316393,0.809007,0.7812,0.795233
46000,0.33532,0.290294,0.872972,0.859658,0.768261
46500,0.166268,0.272002,0.892154,0.886296,0.747227
47000,0.152311,0.315614,0.902466,0.901873,0.714463
47500,0.431361,0.34411,0.769807,0.735745,0.786885
47500,0.455277,0.34411,0.769807,0.735745,0.786885
48000,0.13704,0.347318,0.921468,0.942912,0.620339
48500,0.19804,0.351804,0.939552,0.971664,0.580835
49000,0.361439,0.339604,0.891616,0.901487,0.663282
49500,0.274147,0.33271,0.810204,0.786744,0.777018
