Iteration,Training Loss,Test Loss,Test Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy
0,1.08507,0.657198,1.62212e-06,1.91651e-06,0.0,2.44458e-07
500,0.457501,0.510475,0.750419,0.720932,0.628914,0.875149
1000,0.504296,0.57111,0.760295,0.736106,0.426704,0.890705
1500,0.315331,0.439632,0.822202,0.811017,0.665043,0.830992
2000,0.31813,0.631635,0.807965,0.789228,0.660748,0.862066
2500,0.389212,0.431052,0.684851,0.642893,0.603389,0.887125
3000,0.512113,0.453991,0.794374,0.770765,0.631987,0.864981
3500,0.404098,0.528619,0.716115,0.675645,0.757207,0.84522
4000,0.349151,0.529349,0.704806,0.694523,0.762713,0.696576
4500,0.38699,0.411918,0.769725,0.739302,0.701378,0.878646
5000,0.898715,0.406297,0.815314,0.801925,0.660373,0.81741
5500,0.344732,0.436412,0.687232,0.679052,0.752765,0.631862
6000,0.53231,0.436958,0.814094,0.796637,0.582001,0.877668
6500,0.384469,0.4322,0.734222,0.696947,0.727351,0.85832
7000,0.379243,0.57715,0.730645,0.696835,0.732558,0.855161
7500,0.415163,0.457533,0.720085,0.672418,0.697944,0.896702
8000,0.470157,0.445776,0.761415,0.725576,0.695176,0.892141
8500,0.527218,0.419402,0.766401,0.747173,0.608286,0.789456
9000,0.390038,0.431059,0.792073,0.7738,0.67339,0.859513
9500,0.303755,0.616375,0.789541,0.769842,0.69589,0.830866
10000,0.394485,0.453859,0.795412,0.800862,0.684355,0.686127
10500,0.449402,0.45349,0.75924,0.721106,0.698293,0.894368
11000,0.322288,0.464038,0.593329,0.512495,0.707958,0.932319
11500,0.35831,0.437502,0.629004,0.557403,0.754271,0.916397
12000,0.386516,0.443658,0.807237,0.802784,0.602567,0.835809
12500,0.666801,0.478236,0.634571,0.571377,0.710583,0.904705
13000,0.334444,0.440534,0.792279,0.762141,0.637486,0.891847
13500,0.360369,0.582728,0.69998,0.658928,0.728216,0.852855
14000,0.432521,0.419488,0.877276,0.899009,0.509911,0.706443
14500,0.408257,0.441487,0.762969,0.727466,0.668818,0.871721
15000,0.400776,0.430047,0.807851,0.796261,0.694217,0.79437
15500,0.658072,0.494342,0.836127,0.825202,0.651688,0.846386
16000,0.454186,0.420353,0.674058,0.63732,0.728532,0.811408
16500,0.433093,0.544758,0.671887,0.614123,0.646315,0.907696
17000,0.390756,0.851341,0.601763,0.537424,0.784712,0.836844
17500,0.363755,0.494,0.641926,0.626336,0.780198,0.609424
18000,0.474861,0.603311,0.656804,0.593836,0.633899,0.921516
18500,0.425742,0.416303,0.774063,0.738117,0.556792,0.898862
19000,0.348724,0.71858,0.667841,0.621223,0.788629,0.841477
19500,0.427119,0.565879,0.865986,0.873109,0.593292,0.787539
20000,0.382598,0.402392,0.75571,0.764002,0.749476,0.635246
20500,0.536866,0.414211,0.78107,0.750251,0.704501,0.891627
21000,0.363572,0.46818,0.752285,0.734479,0.697249,0.720256
21500,0.332724,0.51399,0.640387,0.573261,0.666903,0.935249
22000,0.270724,0.487835,0.727873,0.687684,0.758605,0.865762
22500,0.445567,0.441693,0.698249,0.662106,0.765102,0.796201
23000,0.417516,0.440855,0.774822,0.738935,0.64318,0.885112
23500,0.594311,0.553383,0.584993,0.510967,0.758079,0.90128
24000,0.417623,0.393934,0.750422,0.718899,0.657006,0.884814
24500,0.531971,0.614609,0.775951,0.748295,0.694589,0.874633
25000,0.488326,0.432602,0.780168,0.763108,0.728752,0.783039
25500,0.406413,1.00906,0.555213,0.476199,0.457817,0.947939
26000,0.559372,0.411132,0.810492,0.836993,0.595404,0.623494
26500,0.35769,0.393439,0.71158,0.662631,0.649014,0.912498
27000,0.460349,0.576838,0.765671,0.726294,0.670222,0.898297
27500,0.361379,0.436111,0.506955,0.408877,0.655347,0.951698
28000,0.391307,0.471289,0.681937,0.651045,0.753338,0.816858
28500,0.342478,0.514388,0.847938,0.839124,0.619517,0.870487
29000,0.46364,0.472043,0.74837,0.72067,0.74503,0.822603
29500,0.390182,0.618908,0.638463,0.584494,0.76773,0.896296
30000,0.440286,0.585314,0.818838,0.801519,0.647253,0.883808
30500,0.534532,0.49049,0.791851,0.800913,0.618456,0.717658
31000,0.529705,0.453874,0.729995,0.696503,0.661393,0.890898
31500,0.41539,0.653883,0.78429,0.752651,0.654859,0.885494
32000,0.386699,0.523952,0.79904,0.797278,0.712252,0.752312
32500,0.370166,0.540286,0.766286,0.734208,0.412861,0.901243
33000,0.402362,0.483818,0.846311,0.836662,0.55923,0.865881
33500,0.397222,0.713636,0.700964,0.667573,0.765853,0.789955
34000,0.309936,0.414433,0.777292,0.749714,0.722208,0.867991
34500,0.432259,0.442723,0.766593,0.739479,0.722298,0.838296
35000,0.48832,0.463023,0.674125,0.657974,0.774756,0.699328
35500,0.501108,0.480433,0.654835,0.60987,0.795208,0.809718
36000,0.425116,0.435347,0.810956,0.794566,0.638196,0.844267
36500,0.306148,0.583952,0.479587,0.398507,0.532715,0.925322
37000,0.402753,0.42242,0.747811,0.704395,0.658941,0.895275
37500,0.396537,0.476106,0.734931,0.71071,0.750072,0.802973
38000,0.376315,0.933028,0.736762,0.688437,0.641219,0.9213
38500,0.422231,0.429475,0.650358,0.608193,0.756463,0.749798
39000,0.347528,0.435558,0.67907,0.632742,0.767512,0.863639
39500,0.30003,0.434794,0.706564,0.667148,0.725535,0.835001
40000,0.377161,0.416799,0.633348,0.562311,0.71161,0.928856
40500,0.442495,0.43867,0.676097,0.67016,0.750209,0.575871
41000,0.361253,0.485775,0.812547,0.792906,0.673999,0.849249
41500,0.322528,0.685434,0.790547,0.765401,0.681367,0.876908
42000,0.264097,0.42882,0.785144,0.754001,0.603694,0.900185
42500,0.454749,0.426332,0.747505,0.729928,0.747689,0.782003
43000,0.578782,0.636528,0.677766,0.628874,0.769444,0.853083
43500,0.382081,0.455286,0.756546,0.729117,0.708946,0.824395
44000,0.540715,0.609587,0.618822,0.610847,0.700821,0.561554
44500,0.349261,0.465221,0.782099,0.750979,0.554002,0.912085
45000,0.444872,0.492498,0.716767,0.680332,0.749501,0.82089
45500,0.459699,0.503948,0.711769,0.659427,0.671357,0.904877
46000,0.351425,0.439808,0.70673,0.676325,0.760775,0.781636
46500,0.448287,0.455953,0.623035,0.618451,0.77602,0.543928
47000,0.335675,0.642507,0.85126,0.849492,0.580847,0.845557
47500,0.444878,0.555388,0.802863,0.778552,0.624243,0.899979
48000,0.304333,0.422466,0.795172,0.771028,0.652333,0.886772
48500,0.453925,0.455219,0.847425,0.845181,0.414521,0.882731
49000,0.368295,0.467101,0.643849,0.57605,0.704475,0.925196
49500,0.577824,0.625888,0.653135,0.615759,0.728411,0.727259
